sample	name	taxonomy_id	taxonomy_lvl	new_est_reads	fraction_total_reads	taxonomy_chain
P1	name	taxonomy_id	taxonomy_lvl	new_est_reads	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB82
P1	Bradyrhizobium sp. CB82	3039159	S	65968	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB82
P1	Bradyrhizobium sp. Ash2021	2954771	S	20080	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. Ash2021
P1	Bradyrhizobium sp. NP1	3049772	S	27965	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. NP1
P1	Bradyrhizobium sp. CIAT3101	439387	S	16312	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CIAT3101
P1	Bradyrhizobium sp. sBnM-33	2831780	S	6942	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. sBnM-33
P1	Bradyrhizobium sp. 200	2782665	S	7232	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 200
P1	Bradyrhizobium sp. CB1650	3039153	S	7145	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB1650
P1	Bradyrhizobium sp. 186	2782654	S	5596	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 186
P1	Bradyrhizobium sp. CCBAU 051011	858422	S	4206	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 051011
P1	Bradyrhizobium sp. 170	2782641	S	4069	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 170
P1	Bradyrhizobium sp. CB3481	3039158	S	3513	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB3481
P1	Bradyrhizobium sp. BWA-3-5	3080013	S	3104	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. BWA-3-5
P1	Bradyrhizobium sp. CCGUVB1N3	2949629	S	14362	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCGUVB1N3
P1	Bradyrhizobium sp. 6(2017)	1197460	S	5820	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 6(2017)
P1	Bradyrhizobium sp. CCBAU 51753	1325100	S	3791	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 51753
P1	Bradyrhizobium sp. CCGUVB23	2949630	S	9593	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCGUVB23
P1	Bradyrhizobium sp. C-145	574727	S	7410	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. C-145
P1	Bradyrhizobium sp. CB1717	3039154	S	5371	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB1717
P1	Bradyrhizobium sp. BTAi1	288000	S	2934	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. BTAi1
P1	Bradyrhizobium sp. CB2312	3039155	S	3010	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB2312
P1	Bradyrhizobium sp. A19	2898149	S	2310	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium ontarionense
P1	Bradyrhizobium sp. WD16	1521768	S	3033	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. WD16
P1	Bradyrhizobium sp. CCBAU 53421	1325120	S	2825	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 53421
P1	Bradyrhizobium genosp. L	83637	S	2392	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium genosp. L
P1	Bradyrhizobium sp. CCBAU 53340	1325112	S	3183	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 53340
P1	Bradyrhizobium sp. 195	2782662	S	2164	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 195
P1	Bradyrhizobium sp. ORS 285	115808	S	1899	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. ORS 285
P1	Bradyrhizobium sp. 62B	2898442	S	3751	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 62B
P1	Bradyrhizobium sp. CB1015	2976822	S	2325	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB1015
P1	Bradyrhizobium sp. SK17	2057741	S	5243	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. SK17
P1	Bradyrhizobium sp. CB3035	2976824	S	2009	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB3035
P1	Bradyrhizobium sp. ORS 278	114615	S	1543	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. ORS 278
P1	Bradyrhizobium sp. 191	2782659	S	2402	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 191
