name	P1	P2	P3	P4	P5	P6
Achromobacter denitrificans	0	0	1353	0	1238	0
Achromobacter insolitus	1595	729	0	663	0	0
Achromobacter pestifer	0	0	0	2546	0	0
Achromobacter ruhlandii	1598	0	0	0	0	0
Achromobacter sp. AONIH1	0	0	4494	0	0	0
Achromobacter sp. MFA1 R4	0	0	0	415	0	0
Achromobacter sp. R39	0	0	0	0	299	0
Achromobacter spanius	1655	0	0	2289	1780	0
Achromobacter xylosoxidans	7721	3107	4367	8504	5943	1654
Acidibrevibacterium fodinaquatile	918	1080	901	507	851	281
Acidihalobacter aeolianus	0	0	0	0	313	0
Acidihalobacter yilgarnensis	0	0	0	79	0	0
Acidimicrobium ferrooxidans	346	375	361	245	265	135
Acidiphilium multivorum	684	851	354	478	0	0
Acidipropionibacterium jensenii	1013	0	0	0	0	562
Acidipropionibacterium virtanenii	145	0	0	0	0	0
Acidisarcina polymorpha	824	755	1029	669	1016	672
Acidisoma sp. PAMC 29798	91	74	97	97	111	0
Acidobacterium capsulatum	637	703	1175	772	1122	443
Acidocella sp. MX-AZ03	0	214	150	259	0	0
Acidothermus cellulolyticus	198	282	229	210	448	155
Acidovorax sp. 5MLIR	0	0	0	0	1178	0
Acinetobacter nosocomialis	0	0	0	0	0	1961
Actinacidiphila bryophytorum	1102	2231	1025	3175	2707	1070
Actinoalloteichus hoggarensis	0	0	0	107	0	0
Actinoalloteichus hymeniacidonis	0	0	63	108	0	0
Actinocatenispora sera	305	328	257	186	327	0
Actinocatenispora thailandica	251	511	242	501	227	140
Actinokineospora sp. UTMC 2448	836	784	296	571	799	244
Actinomadura graeca	2330	2615	987	1166	1161	906
Actinomadura madurae	1975	3210	1494	2348	1977	1233
Actinomadura sp. NAK00032	1861	1345	1300	6537	1889	1179
Actinomadura sp. WMMA1423	1851	1526	3812	4302	1560	655
Actinomadura sp. WMMB 499	1565	1178	1014	1400	1374	957
Actinomadura verrucosospora	4361	4353	8105	3087	2812	1473
Actinomarinicola tropica	1986	2747	2012	1968	1451	989
Actinoplanes derwentensis	182	158	209	290	182	0
Actinoplanes friuliensis	335	239	346	333	524	115
Actinoplanes hotanensis	0	0	22	0	0	0
Actinoplanes ianthinogenes	6033	1456	1645	1027	852	861
Actinoplanes missouriensis	485	750	500	707	675	444
Actinoplanes sichuanensis	452	315	573	313	246	0
Actinoplanes sp. L3-i22	878	687	757	673	778	497
Actinoplanes sp. N902-109	631	389	738	710	532	541
Actinoplanes sp. NRRL 3884	631	463	845	406	661	321
Actinoplanes sp. OR16	710	841	800	718	917	473
Actinoplanes teichomyceticus	434	771	422	843	389	238
Actinopolymorpha singaporensis	1359	1689	23646	7477	4036	414
Actinopolyspora erythraea	0	169	46	0	0	87
Actinosynnema mirum	396	0	267	0	447	0
Actinosynnema pretiosum	498	926	199	346	0	0
Actinotalea sp. JY-7876	0	0	303	0	303	0
Acuticoccus sp. I52.16.1	349	331	250	408	561	240
Acuticoccus sp. MNP-M23	0	0	223	272	191	0
Aeoliella mucimassa	36	0	51	54	0	0
Aeromicrobium chenweiae	0	228	157	163	263	0
Aeromicrobium choanae	0	0	167	0	0	0
Aeromicrobium erythreum	375	0	181	0	310	0
Aeromicrobium marinum	187	0	123	0	0	0
Aeromicrobium sp. A1-2	118	0	0	0	0	0
Aeromicrobium sp. HA	339	0	0	0	0	0
Aeromicrobium sp. Leaf245	331	0	111	0	0	0
Aeromicrobium wangtongii	0	0	90	0	0	0
Aeromicrobium yanjiei	240	0	203	180	0	148
Aerosticca soli	0	0	0	0	6673	0
Afipia carboxidovorans	12945	11946	36	50	44	20
Afipia sp. GAS231	8798	6345	5026	6917	4677	3622
Agrobacterium tumefaciens	1516	1496	1016	1438	1722	754
Agrobacterium vitis	0	317	190	0	344	0
Agrococcus carbonis	0	0	0	0	484	0
Agrococcus jejuensis	0	0	147	0	0	0
Agrococcus sp. Marseille-Q4369	286	0	0	0	0	0
Agrococcus sp. REN33	0	0	283	0	798	0
Agrococcus sp. SCSIO52902	0	0	224	0	0	0
Agrococcus sp. SGAir0287	0	0	112	0	0	0
Agrococcus sp. SL85	306	0	193	0	0	0
Agromyces badenianii	0	0	164	0	0	0
Agromyces flavus	195	0	0	0	0	0
Agromyces laixinhei	0	0	96	0	0	0
Agromyces larvae	0	0	0	0	233	0
Agromyces mangrovi	232	0	255	0	308	0
Agromyces marinus	0	0	0	0	0	280
Agromyces protaetiae	232	0	0	316	466	0
Agromyces soli	0	0	0	227	0	1724
Agromyces sp. H17E-10	181	0	153	258	0	0
Agromyces sp. LHK192	0	0	118	0	0	0
Akkermansia glycaniphila	53	0	0	0	0	0
Algicella marina	0	0	0	63	0	0
Alicycliphilus denitrificans	0	0	0	0	24408	3233
Alicyclobacillus acidocaldarius	0	0	112	0	0	0
Alienimonas californiensis	73	99	148	63	66	85
Alloacidobacterium dinghuense	1400	1361	1256	1313	2045	1430
Alloactinosynnema sp. L-07	484	355	355	453	399	0
Allobranchiibius sp. GilTou73	222	0	150	0	0	0
Allocoleopsis franciscana	0	0	101	0	0	0
Allokutzneria albata	403	488	322	739	1364	292
Allomeiothermus silvanus	0	85	0	0	0	0
Allorhizobium pseudoryzae	0	296	0	0	0	0
Allosaccharopolyspora coralli	226	420	229	0	0	0
Altererythrobacter sp. B11	0	0	323	0	0	0
Aminithiophilus ramosus	30	0	0	0	0	0
Aminobacter aminovorans	0	0	0	0	1302	0
Amycolatopsis acidiphila	1431	1678	843	985	2574	547
Amycolatopsis aidingensis	145	118	157	119	180	123
Amycolatopsis albispora	855	1535	855	641	1302	597
Amycolatopsis japonica	0	0	0	234	0	0
Amycolatopsis keratiniphila	454	0	308	445	292	248
Amycolatopsis mediterranei	804	733	1424	652	959	238
Amycolatopsis methanolica	718	512	2732	697	995	432
Amycolatopsis orientalis	205	192	164	201	190	185
Amycolatopsis roodepoortensis	0	383	0	280	0	0
Amycolatopsis sp. 2-15	718	1820	695	997	547	348
Amycolatopsis sp. 2-2	1590	2979	2365	2602	3455	889
Amycolatopsis sp. 4-36	1398	2083	2995	3613	4308	2311
Amycolatopsis sp. AA4	264	900	4056	896	347	0
Amycolatopsis sp. BJA-103	339	455	277	343	381	0
Amycolatopsis sp. CA-230715	346	240	141	177	279	166
Amycolatopsis sp. DG1A-15b	442	773	1144	866	829	320
Amycolatopsis sp. DSM 110486	749	2100	502	1596	606	546
Amycolatopsis sp. EV170708-02-1	0	0	322	0	0	0
Amycolatopsis sp. FBCC-B4732	247	540	1575	2898	3095	727
Amycolatopsis sp. FDAARGOS 1241	2686	8160	766	10863	2021	471
Amycolatopsis sp. FU40	256	693	4283	3060	533	318
Amycolatopsis sp. HUAS 11-8	1583	1669	827	903	1335	802
Amycolatopsis sp. Hca4	390	855	3876	1800	5699	344
Amycolatopsis sp. QT-25	0	0	0	0	167	0
Amycolatopsis sp. TNS106	238	274	0	0	0	232
Amycolatopsis sp. WQ 127309	408	687	830	1127	1196	450
Amycolatopsis sp. YIM 10	439	524	267	442	455	280
Amycolatopsis thermalba	622	561	1241	226	502	619
Anaerocolumna cellulosilytica	47	236	0	0	0	0
Anaerocolumna chitinilytica	37	93	25	0	0	0
Anaerocolumna sedimenticola	0	0	38	0	0	0
Anaerocolumna sp. AGMB13020	201	78	49	85	0	0
Anaerolinea thermophila	0	0	48	91	44	22
Anaeromyxobacter dehalogenans	805	1283	10443	17397	24444	4851
Anaeromyxobacter oryzae	2309	1595	11595	28265	40018	7624
Anaeromyxobacter paludicola	906	1042	8126	17204	21516	3074
