name	P1	P2	P3	P4	P5	P6
Akanthomyces muscarius	0.0	28.0	0.0	0.0	0.0	0.0
Ascochyta rabiei	0.0	45.0	198.0	0.0	53.0	0.0
Aspergillus chevalieri	0.0	0.0	123.0	0.0	0.0	0.0
Aspergillus fumigatus	62.0	0.0	46.0	0.0	0.0	0.0
Aspergillus luchuensis	106.0	0.0	75.0	119.0	0.0	0.0
Colletotrichum higginsianum	0.0	0.0	71.0	143.0	0.0	0.0
Fusarium falciforme	705.0	691.0	2279.0	291.0	563.0	497.0
Fusarium fujikuroi	0.0	0.0	0.0	0.0	40.0	0.0
Fusarium keratoplasticum	313.0	327.0	1907.0	183.0	1628.0	5027.0
Fusarium oxysporum	136.0	16.0	1813.0	132.0	124.0	80.0
Fusarium verticillioides	0.0	161.0	0.0	0.0	0.0	0.0
Marasmius oreades	0.0	0.0	0.0	0.0	130.0	0.0
Neurospora crassa	0.0	0.0	31.0	0.0	0.0	0.0
Penicillium oxalicum	0.0	0.0	1206.0	0.0	0.0	0.0
Pochonia chlamydosporia	111.0	158.0	33.0	140.0	137.0	41.0
Psilocybe cubensis	0.0	0.0	0.0	0.0	129.0	0.0
Purpureocillium takamizusanense	245.0	60.0	120.0	105.0	146.0	54.0
Rhizoctonia solani	0.0	0.0	0.0	0.0	105.0	0.0
Talaromyces marneffei	203.0	158.0	785.0	525.0	1142.0	158.0
Talaromyces rugulosus	0.0	91.0	0.0	153.0	91.0	0.0
Thermothelomyces thermophilus	0.0	19.0	43.0	0.0	50.0	27.0
Thermothielavioides terrestris	34.0	43.0	108.0	55.0	71.0	48.0
Trichoderma breve	208.0	249.0	0.0	351.0	185.0	152.0
Ustilaginoidea virens	28.0	0.0	0.0	0.0	38.0	0.0
